Create date,Stage Date - Project Launch,Associated Contact,Target Launch Date,Kickoff Call,Close date,Pipeline,Stage Date - Project Initiation,Ticket status,Stage Date - Execution,Time to first agent email reply (HH:mm:ss),Associated Company,Stage Date - Closure Phase,Associated Company (Primary),Response time (HH:mm:ss),Ticket ID,Time to close (HH:mm:ss),Associated Deal,Library index approved,Training: General Overview,Latest Milestone,Training: Deployment/User Management Training,Requirements for the Trial,Training: Sym Building 101,Last modified date,Trial End Date,Training: Sym Building 201,Stage Date - Converted Won,Latest Milestone Update Date,Ticket name,Trial Overview,Trial Start Date,1st Syms presented for review,Project Launch Day,Training: Reporting,Construction of 1st Sym begun,duration
2024-04-03 07:42:00,2024-08-08,Contact_93833926,2024-05-15,2024-04-02,2024-11-19 08:36:00,Project Success Plan,2024-04-03,Converted-Won,2024-04-30,33 days 01:29:20,Company_dbe52e71,2024-11-19,Company_dbe52e71,33 days 01:29:20,2564027492,230 days 01:53:39,Deal_25bf9c99,No,2024-04-11,Library Index Approved,2024-04-25,Coaching; Onboarding,2024-04-17,2025-02-14 13:39:00,2024-06-28,2023-11-17,2024-12-04,2023-11-24,Ticket_ba9ec7a0,Move the program from Zenerate to Symtrain,2024-04-03,2024-04-17,2024-08-05,2024-04-25,2024-04-17,317.0
2025-01-07 09:56:00,2023-12-14,Contact_cbebf8f3,2023-09-08,2024-08-13,2024-04-30 10:56:00,Project Success Plan,2025-01-07,Planning Phase,2024-07-19,40 days 23:03:24,Company_dbe52e71,2024-09-20,Company_dbe52e71,40 days 23:03:24,18709099299,0 days 00:00:00,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-20 10:10:00,2025-12-31,2023-11-17,2025-01-14,2023-11-24,Ticket_0a7f5fea,Will be using Symtrain for new hire training sessions for the voice program.,2025-01-07,2023-11-03,2023-12-13,2024-09-23,2023-10-02,44.0
2024-10-25 16:23:00,2023-12-14,Contact_dd20b92b,2023-09-08,2024-08-13,2024-04-30 10:56:00,Project Success Plan,2024-10-25,Planning Phase,2024-07-19,0 days 00:02:44,Company_01cd3261,2024-09-20,Company_dbe52e71,0 days 00:02:44,15758770280,0 days 00:00:00,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-12-31,2023-11-17,2025-01-14,2023-11-24,Ticket_00973094,This will be a POC to test Symtrain and help improvise customer's KPIs,2024-10-22,2023-11-03,2023-12-13,2024-09-23,2023-10-02,111.0
2024-12-20 09:16:00,2023-12-14,Contact_3e34cbdf,2023-09-08,2024-12-26,2024-04-30 10:56:00,Project Success Plan,2024-12-20,Execution Phase,2025-02-03,0 days 00:02:44,Company_dbe52e71,2024-09-20,Company_dbe52e71,0 days 00:02:44,18043225431,0 days 00:00:00,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Assessment,2024-09-23,2025-02-14 13:39:00,2025-12-31,2023-11-17,2025-01-14,2023-11-24,Ticket_ad118e65,Will launch Comcast Angeles with Hiring usecase to be launched in Jan'25.,2024-12-19,2023-11-03,2023-12-13,2024-09-23,2025-01-10,56.0
2025-01-16 14:06:00,2023-12-14,Contact_30a4731c,2023-09-08,2024-08-13,2025-01-16 14:06:00,Project Success Plan,2024-04-01,Converted-Won,2024-07-19,5 days 18:14:58,Company_dbe52e71,2024-09-20,Company_dbe52e71,5 days 18:14:58,19141467250,0 days 00:00:00,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-12-31,2023-11-17,2025-01-16,2023-11-24,Ticket_ad84ca4b,Move from Zenerate to Symtrain and achieve success.,2023-12-01,2023-11-03,2023-12-13,2024-09-23,2023-10-02,28.0
2024-07-26 12:19:00,2024-10-10,Contact_e681731a,2023-09-08,2024-08-20,2024-11-19 08:30:00,Project Success Plan,2024-07-26,Converted-Won,2024-09-13,11 days 08:02:53,Company_dbe52e71,2024-11-19,Company_dbe52e71,11 days 08:02:53,3021671720,115 days 21:10:28,Deal_25bf9c99,Yes,2023-11-29,Library Index Approved,2024-09-23,Coaching; Onboarding,2024-09-23,2025-02-14 13:39:00,2024-09-30,2023-11-17,2024-12-04,2023-11-24,Ticket_34ce7b9f,"We will be introducing Symtrain to Altafiber U.S. Location, we have previously launched the program on Manila location with onboarding and Coaching use case",2024-07-29,2023-11-03,2024-10-07,2024-09-23,2024-09-06,203.0
2023-06-01 15:14:00,2023-12-27,Contact_8936235f,2023-10-01,2023-09-28,2024-05-24 11:09:00,Project Success Plan,2024-04-01,Converted-Won,2024-07-19,116 days 19:08:01,Company_dbe52e71,2024-09-20,Company_dbe52e71,116 days 19:08:01,1891053851,357 days 19:54:55,Deal_48df1ecc,Yes,2023-11-13,Library Index Approved,2023-11-15,Coaching; Onboarding,2023-11-15,2025-02-14 13:39:00,2024-12-31,2023-11-17,2024-05-24,2023-11-24,Ticket_59c78152,"StartTek will use SymTrain on a variety of customers, moving them over 1 at a time for both coaching and onboarding activities.",2024-04-15,2023-11-13,2023-12-04,2023-11-16,2023-10-02,623.0
2024-04-02 14:52:00,2024-04-02,Contact_8d13deb2,2023-11-30,2024-08-13,2024-05-24 11:09:00,Project Success Plan,2024-04-01,Converted-Won,2024-07-19,5 days 17:18:30,Company_dbe52e71,2024-09-20,Company_dbe52e71,5 days 17:18:30,2561463559,51 days 20:16:54,Deal_bce82aa5,Yes,2023-11-20,GNG Call,2023-11-20,Onboarding,2023-11-21,2025-02-14 13:39:00,2024-07-31,2023-11-17,2024-05-24,2024-04-02,Ticket_8224d7a7,Utilize Symtrain to improve metrics,2023-11-01,2023-11-03,2023-11-30,2023-11-21,2023-10-02,317.0
2024-11-11 10:03:00,2023-12-14,Contact_d175ba69,2023-09-08,2024-08-13,2024-04-30 10:56:00,Project Success Plan,2024-11-11,Planning Phase,2024-07-19,95 days 07:05:53,Company_ab3d03cf,2024-09-20,Company_dbe52e71,95 days 07:05:53,16228714006,0 days 00:00:00,Deal_48df1ecc,Yes,2023-11-29,Library Index Approved,2024-09-23,Onboarding,2024-09-23,2025-02-20 16:41:00,2025-01-31,2023-11-17,2025-01-14,2023-11-24,Ticket_d357b9c8,Startek has acquired Intelling Ltd and Startek wants to show them the Symtrain with this POC.,2024-11-11,2023-11-03,2023-12-13,2024-09-23,2023-10-02,101.0
2024-05-22 11:03:00,2024-05-22,Contact_3f1cfb8f,2024-02-06,2024-08-13,2024-08-16 11:32:00,Project Success Plan,2024-04-01,Converted-Won,2024-07-19,6 days 22:39:54,Company_dbe52e71,2024-09-20,Company_dbe52e71,6 days 22:39:54,2751871900,86 days 00:28:44,Deal_bce82aa5,Yes,2024-02-01,GNG Call,2024-09-23,Onboarding,2024-09-23,2025-02-14 13:39:00,2024-06-30,2023-11-17,2024-08-16,2024-05-24,Ticket_c2b2661f,"This is a new program, Symtrain will be utilized for new agents to help them improve their performance and achieve client goals.",2024-02-01,2023-11-03,2024-02-06,2024-09-23,2023-10-02,268.0
