Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID,Forecast category,Original Traffic Source,Associated Company,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
0,Early Stage - MI from Ellie based on referral (Sab...,,,101,,9/30/2024 14:52,Event,,,,,2427:21:59,Sales Pipeline,20243210618,Not forecasted,Direct Traffic,Associated_f8c848ca,Deal_86a875eb,,1,30000,,,0,Associated_f8c848ca,FALSE,,,8/8/2024 11:55,,,TRUE,0,TRUE,,Deal_22d0ccf2,30000,,30000,,0,,6/21/2024 11:30,,,9/30/2024 15:07,,Closed Lost,New
150000,Enterprise BPO Program,,,203,32,1/10/2025 13:45,Event,,,,,,Sales Pipeline,20242942753,Commit,Offline Sources,Associated_7817e1d6,Deal_bb6f872e,,0,250000,,,0.6,Associated_7817e1d6,FALSE,,,1/30/2025 13:30,,,FALSE,150000,FALSE,9/27/2024,Deal_48df1ecc,250000,,250000,,1,,6/21/2024 11:08,,,2/11/2025 19:08,,Negotiation,New
36000,IBX Initial Contract,505:03:13,,298,9,4/11/2025 22:49,Other,,,,,1174:39:56,Sales Pipeline,20139307521,Commit,Offline Sources,Associated_7908c3ce,Deal_3d3dc242,,0,60000,,,0.6,Associated_7908c3ce,FALSE,,,10/28/2024 19:01,,,FALSE,36000,FALSE,,Deal_db21d23f,60000,,60000,,1,,6/17/2024 10:04,1058:31:22,,1/6/2025 22:50,,Negotiation,New
177000,Unlimited usage for CVS/Aetna and BPOs,,,195,,12/23/2024 12:57,Event,,,,,,Sales Pipeline,20009427593,Closed won,Offline Sources,Associated_3131dcee,Deal_3d3dc242,,1,177000,,,1,Associated_3131dcee,TRUE,,,2/5/2025 15:50,,,FALSE,177000,TRUE,,Deal_11d7a64a,177000,,177000,4680:31:24,0,,6/11/2024 13:25,,,2/5/2025 15:51,,Closed Won,New
2500,SSO,,0:04:58,101,,9/3/2024 9:32,Customer Referral CSM,,,,,,Sales Pipeline,21898600538,Closed won,Offline Sources,Associated_7059f1f6,Deal_3cf008ff,,1,2500,,,1,Associated_7059f1f6,TRUE,,,5/24/2024 10:30,,,FALSE,2500,TRUE,,Deal_1c978915,2500,,2500,0:01:15,0,,5/24/2024 13:34,,,1/29/2025 14:43,,Closed Won,PS
0,Full use case for 192 agents.,472:57:12,,105,,9/4/2024 21:55,PAM,,,,,1020:00:00,Sales Pipeline,19547859877,Not forecasted,Direct Traffic,Associated_1bb3381b,Deal_3d3dc242,,1,30000,,,0,Associated_1bb3381b,FALSE,,,11/14/2024 11:19,,,TRUE,0,TRUE,,Deal_1bb3381b,30000,,30000,1032:36:37,0,,5/22/2024 16:20,,,2/12/2025 11:57,,Closed Lost,New
7500,Arise Trial,648:07:39,,110,,9/3/2024 9:46,Email campaign,22:11:32,,,,1032:00:04,Sales Pipeline,19393070415,Closed won,Organic Search,Associated_daef39a4,Deal_1255256f,,1,7500,,,1,Associated_daef39a4,TRUE,,,9/10/2024 11:41,,,FALSE,7500,TRUE,,Deal_33a9e774,7500,,7500,955:36:46,0,,5/15/2024 15:49,,,2/18/2025 8:31,,Closed Won,PS
0,Training and onboarding,1702:45:15,,70,,7/19/2024 9:35,SymTrain EE name,,,,,,Sales Pipeline,19244602278,Not forecasted,Offline Sources,Associated_17166d4f,Deal_3d3dc242,,1,30000,,,0,Associated_17166d4f,FALSE,,,,,,TRUE,0,TRUE,,Deal_8507d096,30000,,30000,,0,,5/9/2024 10:49,,,9/18/2024 18:48,,Closed Lost,New
0,Training,6566:18:29,,273,,2/5/2025 12:00,SymTrain EE name,,,,,,Sales Pipeline,19202369890,Not forecasted,Offline Sources,Associated_64358a15,Deal_3d3dc242,,1,30000,,,0,Associated_64358a15,FALSE,,,11/4/2024 10:05,,,TRUE,0,TRUE,,Deal_153556c7,30000,,30000,,0,,5/7/2024 22:41,,,2/5/2025 12:00,,Closed Lost,New
0,sales hubspot academy,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19190491061,Pipeline,Offline Sources,Associated_da884e18,Deal_3d3dc242,,0,0,,,0.05,Associated_da884e18,FALSE,,,,,,FALSE,0,FALSE,,Deal_eb0f48a1,0,,0,,1,,5/7/2024 12:28,,,1/23/2025 6:37,,Partner Referrals ,New
0,.,,,0,11,,Referral Partner,,,,,,Sales Pipeline,19091989353,Not forecasted,Direct Traffic,Associated_3d780a1a,,,0,0,,,0.05,Associated_ef811650,FALSE,,,1/6/2025 15:08,,,FALSE,0,FALSE,,Deal_f6dba41a,0,,0,,1,,5/3/2024 9:33,,,2/7/2025 23:56,,Partner Referrals ,New
0,.,,,0,12,,Referral Partner,,,,,,Sales Pipeline,19091989146,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,10/8/2024 12:00,,,FALSE,0,FALSE,,Deal_75ff77ea,0,,0,,1,,5/3/2024 9:31,,,12/16/2024 13:45,,Partner Referrals ,New
0,.,,,0,11,,Referral Partner,,,,,,Sales Pipeline,19091988652,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,9/10/2024 12:00,,,FALSE,0,FALSE,,Deal_114a2c5c,0,,0,,1,,5/3/2024 9:28,,,12/16/2024 13:45,,Partner Referrals ,New
0,.,,,0,11,,Referral Partner,,,,,,Sales Pipeline,19091997620,Not forecasted,Offline Sources,Associated_367bc345,,,0,0,,,0.05,Associated_ef811650,FALSE,,,9/10/2024 12:00,,,FALSE,0,FALSE,,Deal_9df8174a,0,,0,,1,,5/3/2024 9:25,,,2/5/2025 7:23,,Partner Referrals ,New
0,.,,,0,13,,Referral Partner,,,,,,Sales Pipeline,19091997448,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,8/16/2024 10:30,,,FALSE,0,FALSE,,Deal_fadd07e7,0,,0,,1,,5/3/2024 9:23,,,1/2/2025 7:10,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091987753,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_6a891d3a,0,,0,,1,,5/3/2024 9:22,,,12/16/2024 13:44,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091997026,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_ef6d9972,0,,0,,1,,5/3/2024 9:20,,,12/16/2024 13:45,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091996932,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_6170475e,0,,0,,1,,5/3/2024 9:18,,,12/16/2024 13:45,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091753578,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_17d35991,0,,0,,1,,5/3/2024 9:14,,,12/16/2024 13:45,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091753377,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_c8358eb1,0,,0,,1,,5/3/2024 9:13,,,12/16/2024 13:44,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091775661,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_8fec8025,0,,0,,1,,5/3/2024 9:11,,,12/16/2024 13:44,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091753027,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_e93113dd,0,,0,,1,,5/3/2024 9:10,,,12/16/2024 13:44,,Partner Referrals ,New
6000,.,,,332,16,3/31/2025 12:28,Referral Partner,,,1439:21:47,,,Sales Pipeline,19091774126,Best case,Offline Sources,Associated_ef811650,Deal_066bf106,,0,30000,,,0.2,Associated_ef811650,FALSE,,,2/20/2025 8:57,,,FALSE,6000,FALSE,,Deal_ea7b707a,30000,,30000,,1,,5/3/2024 8:59,2860:38:58,,2/20/2025 8:57,,Deep Dive. PSP Drafted,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,19091568939,Not forecasted,Direct Traffic,Associated_ef811650,,,0,0,,,0.05,Associated_ef811650,FALSE,,,,,,FALSE,0,FALSE,,Deal_f3416dff,0,,0,,1,,5/3/2024 8:55,,,12/16/2024 13:45,,Partner Referrals ,New
0,.,3292:03:37,,146,,9/23/2024 14:44,Other,,,213:56:53,,,Sales Pipeline,19009950725,Not forecasted,Offline Sources,Associated_8cf7766f,,,1,0,,,0,Associated_8cf7766f,FALSE,,,2/6/2025 11:22,,,TRUE,0,TRUE,,Deal_f25ec3da,0,,0,,0,,4/30/2024 12:43,,,2/6/2025 11:22,,Closed Lost,New
30000,"training and coaching 100 agents to start, 375 tot...",48:14:01,,96,,8/3/2024 15:31,Referral Partner,1181:44:12,,,,18:19:02,Sales Pipeline,19974759242,Closed won,Offline Sources,Associated_5dc49a28,Deal_3d3dc242,,1,30000,,,1,Associated_a9dac8f8,TRUE,,,8/8/2024 16:00,,6/2/2024,FALSE,30000,TRUE,8/2/2024,Deal_c146cca5,30000,250:57:46,30000,416:29:56,0,,4/29/2024 14:58,508:46:35,,1/3/2025 15:35,,Closed Won,New
0,Onboarding BPO Program,2162:21:50,,112,,8/15/2024 14:14,PLG,,,547:23:37,,,Sales Pipeline,18875629455,Not forecasted,Organic Search,Associated_20f7a1df,Deal_dfbebf66,,1,10000,,,0,Associated_20f7a1df,FALSE,,,6/28/2024 9:13,,,TRUE,0,TRUE,,Deal_204d39e3,10000,,10000,,0,,4/24/2024 16:28,,,9/11/2024 16:36,,Closed Lost,New
10000,Underwriting / back office LOB,5014:38:14,,352,4,4/11/2025 12:58,Event,,,,,,Sales Pipeline,18850648467,Best case,Offline Sources,Associated_a69832eb,Deal_066bf106,,0,50000,,,0.2,Associated_a69832eb,FALSE,,,11/27/2024 10:58,,,FALSE,10000,FALSE,,Deal_0460d719,50000,,50000,,1,,4/23/2024 16:51,,,2/13/2025 14:03,,Deep Dive. PSP Drafted,New
18000,Post successful trial,,,166,,10/7/2024 10:03,Event,,,0:24:56,,0:00:08,Sales Pipeline,18848038068,Closed won,Offline Sources,Associated_5aea6385,Deal_3d3dc242,,1,18000,,,1,Associated_5aea6385,TRUE,,,12/4/2024 16:16,,,FALSE,18000,TRUE,,Deal_762b4fc5,18000,,18000,3930:48:20,0,,4/23/2024 15:21,71:27:56,,1/3/2025 15:09,,Closed Won,New
24000,Direct Opportunity,1651:24:21,,113,,8/14/2024 22:00,Other,555:08:44,,0:00:46,,,Sales Pipeline,18846917002,Closed won,Offline Sources,Associated_1e50a2dc,Deal_3d3dc242,,1,24000,,,1,Associated_1e50a2dc,TRUE,,,9/11/2024 15:29,,,FALSE,24000,TRUE,,Deal_2160e4f9,24000,,24000,317:27:02,0,,4/23/2024 13:51,196:08:20,,1/3/2025 15:12,,Closed Won,New
6200,signed up for 20 seat trial. onboarding. possibili...,,,298,2,2/14/2025 12:44,PLG,600:21:30,,,,,Sales Pipeline,18821499312,Best case,Direct Traffic,Associated_4e00de70,Deal_3d3dc242,,0,31000,,,0.2,Associated_4e00de70,FALSE,,,7/23/2024 15:30,,,FALSE,6200,FALSE,,Deal_c4f6e43e,31000,,31000,1006:43:05,1,,4/22/2024 11:12,503:34:12,,2/15/2025 19:14,,Deep Dive. PSP Drafted,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18761359228,Not forecasted,Offline Sources,Associated_b4313dad,,,0,0,,,0.05,Associated_b4313dad,FALSE,,,,,,FALSE,0,FALSE,,Deal_0cd88abf,0,,0,,1,,4/19/2024 13:02,,,1/31/2025 8:46,,Partner Referrals ,New
0,.,,,0,10,,Referral Partner,,,,,,Sales Pipeline,18761410692,Not forecasted,Offline Sources,Associated_4fcf9474,,,0,0,,,0.05,Associated_4fcf9474,FALSE,,,11/27/2024 10:35,,,FALSE,0,FALSE,,Deal_4fcf9474,0,,0,,1,,4/19/2024 12:52,,,2/19/2025 9:38,,Partner Referrals ,New
0,.,,,0,11,,Referral Partner,,,,,,Sales Pipeline,18761129128,Not forecasted,Direct Traffic,Associated_fd4acbcd,,,0,0,,,0.05,Associated_fd4acbcd,FALSE,,,10/1/2024 23:25,,,FALSE,0,FALSE,,Deal_a6bcf3a8,0,,0,,1,,4/19/2024 12:40,,,2/11/2025 6:26,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18761125559,Not forecasted,Direct Traffic,Associated_9147ca4c,,,0,0,,,0.05,Associated_9147ca4c,FALSE,,,5/8/2024 12:34,,,FALSE,0,FALSE,,Deal_6752f055,0,,0,,1,,4/19/2024 12:17,,,2/11/2025 6:45,,Partner Referrals ,New
46200,.,,,192,,10/28/2024 16:51,Referral Partner,,,3001:51:53,,,Sales Pipeline,18760220715,Commit,Offline Sources,Associated_4b1b6780,Deal_bb6f872e,,0,66000,,,0.7,Associated_4b1b6780,FALSE,,,2/20/2025 12:00,,,FALSE,46200,FALSE,,Deal_4b1b6780,66000,,66000,1150:48:44,1,,4/19/2024 12:11,459:58:41,,2/20/2025 14:53,1341:02:58,In Trial - Trial in Progress,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18761012365,Not forecasted,Direct Traffic,Associated_b7e9b7fa,,,0,0,,,0.05,Associated_b7e9b7fa,FALSE,,,5/8/2024 12:34,,,FALSE,0,FALSE,,Deal_ea956a80,0,,0,,1,,4/19/2024 12:09,,,12/9/2024 11:54,,Partner Referrals ,New
0,.,,,0,11,,Referral Partner,,,,,,Sales Pipeline,18760957036,Not forecasted,Offline Sources,Associated_9b392932,,,0,0,,,0.05,Associated_9b392932,FALSE,,,2/18/2025 13:45,,,FALSE,0,FALSE,,Deal_9fc5e74e,0,,0,,1,,4/19/2024 11:45,,,2/19/2025 10:45,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18758014821,Not forecasted,Offline Sources,Associated_c1582932,,,0,0,,,0.05,Associated_c1582932,FALSE,,,,,,FALSE,0,FALSE,,Deal_5d0d55ba,0,,0,,1,,4/19/2024 10:14,,,12/16/2024 13:36,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18733026936,Not forecasted,Direct Traffic,Associated_5ed85479,,,0,0,,,0.05,Associated_5ed85479,FALSE,,,5/8/2024 12:34,,,FALSE,0,FALSE,,Deal_5ed85479,0,,0,,1,,4/18/2024 13:21,,,12/9/2024 11:54,,Partner Referrals ,New
0,.,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18732749183,Not forecasted,Direct Traffic,Associated_90d991b4,,,0,0,,,0.05,Associated_90d991b4,FALSE,,,6/4/2024 15:28,,,FALSE,0,FALSE,,Deal_517c2913,0,,0,,1,,4/18/2024 12:24,,,1/23/2025 5:55,,Partner Referrals ,New
0,,,,0,9,,Referral Partner,,,,,,Sales Pipeline,18731955382,Not forecasted,Direct Traffic,Associated_1d55af16,,,0,0,,,0.05,Associated_1d55af16,FALSE,,,9/23/2024 22:54,,,FALSE,0,FALSE,,Deal_1d55af16,0,,0,,1,,4/18/2024 12:20,,,1/21/2025 11:48,,Partner Referrals ,New
6000,Silver Plan BPO Program,,,196,4,10/31/2024 15:45,PAM,,,696:41:42,,,Sales Pipeline,18731091569,Pipeline,Offline Sources,Associated_323bf825,Deal_dfbebf66,,0,60000,,,0.1,Associated_323bf825,FALSE,,,9/5/2024 9:40,,,FALSE,6000,FALSE,,Deal_6b267063,60000,,60000,,1,,4/18/2024 11:00,,,11/1/2024 20:29,,BANT Deal. Pain ID'ed,New
0,Allstate - expansion to new LOB's,508:44:14,,158,,9/23/2024 14:51,Other,,,,,3288:29:03,Sales Pipeline,18729346199,Not forecasted,Offline Sources,Associated_141fa164,Deal_1255256f,,1,50000,,,0,Associated_141fa164,FALSE,,,9/18/2024 16:30,,,TRUE,0,TRUE,,Deal_405f5552,50000,,50000,,0,,4/18/2024 9:38,,,2/11/2025 4:38,,Closed Lost,Growth
7500,Cox Auto Direct,6350:16:57,,345,24,3/28/2025 11:26,Referral Partner,,,0:00:15,,,Sales Pipeline,18693596260,Best case,Offline Sources,Associated_d694644a,Deal_dfbebf66,,0,15000,,,0.5,Associated_d694644a,FALSE,,,2/20/2025 9:03,,,FALSE,7500,FALSE,,Deal_d694644a,15000,,15000,,1,,4/16/2024 22:57,,,2/20/2025 9:04,,Contract Sent,New
0,"outbound sales call center in FL. 15 agents, hopin...",,,159,,9/23/2024 7:49,Referral Partner,,,0:07:19,,3824:50:33,Sales Pipeline,18693595992,Not forecasted,Offline Sources,Associated_77e954c3,Deal_3d3dc242,,1,2000,,,0,Associated_77e954c3,FALSE,,,9/17/2024 10:53,,,TRUE,0,TRUE,,Deal_6f048ac4,2000,,2000,,0,,4/16/2024 22:51,,,9/23/2024 7:49,,Closed Lost,New
10000,Replacement of Zenearate for internal and external...,36:41:37,,354,4,4/4/2025 12:59,Event,,,0:00:19,,,Sales Pipeline,18653885818,Best case,Offline Sources,Associated_9ef23a44,Deal_3d3dc242,,0,50000,,,0.2,Associated_9ef23a44,FALSE,,,12/17/2024 13:00,,,FALSE,10000,FALSE,,Deal_3782a1ea,50000,,50000,,1,,4/15/2024 10:14,,,2/5/2025 11:59,,Deep Dive. PSP Drafted,New
0,Replacing CallSimulator / Asima - Onboarding is th...,3383:02:29,,160,,9/23/2024 7:49,Event,,,,,479:21:32,Sales Pipeline,18652842313,Not forecasted,Offline Sources,Associated_52315b4e,Deal_3d3dc242,,1,50000,,,0,Associated_52315b4e,FALSE,,,7/18/2024 16:03,,,TRUE,0,TRUE,,Deal_4ae98ee5,50000,,50000,,0,,4/15/2024 9:24,,,11/14/2024 10:32,,Closed Lost,New
0,"AGENTS FOR CUSTOMER SERVICE CALL CENTER , short me...",,,281,,1/14/2025 13:52,PLG,,,936:39:25,,,Sales Pipeline,18508596616,Not forecasted,Offline Sources,Associated_607c4efa,Deal_17defa5f,,1,5000,,,0,Associated_607c4efa,FALSE,,,10/2/2024 15:20,,,TRUE,0,TRUE,,Deal_f4a37673,5000,,5000,5811:06:35,0,,4/8/2024 11:06,,,1/14/2025 14:06,,Closed Lost,New
0,Northwestern Mutual Ins- New,,,0,9,,Referral Partner,,,,,,Sales Pipeline,18380960115,Not forecasted,Offline Sources,Associated_a69832eb,Deal_3d3dc242,,0,0,,,0.05,Associated_a69832eb,FALSE,,,2/14/2025 9:47,,,FALSE,0,FALSE,,Deal_858a6388,0,,0,,1,,4/2/2024 12:01,,,2/14/2025 10:48,,Partner Referrals ,New
0,Communications Solutions - New,,,0,13,,Referral Partner,,,,,,Sales Pipeline,18380671412,Not forecasted,Offline Sources,Associated_5a810603,Deal_3d3dc242,,0,0,,,0.05,Associated_5a810603,FALSE,,,2/14/2025 9:47,,,FALSE,0,FALSE,,Deal_894b3148,0,,0,,1,,4/2/2024 11:53,,,2/14/2025 10:48,,Partner Referrals ,New
0,Car Easy-New Deal,,,0,3,,Referral Partner,,,,,,Sales Pipeline,18380519512,Not forecasted,Offline Sources,Associated_eae106ca,Deal_3d3dc242,,0,0,,,0.05,Associated_eae106ca,FALSE,,,4/18/2024 13:30,,,FALSE,0,FALSE,,Deal_669f6347,0,,0,,1,,4/2/2024 11:41,,,12/9/2024 11:54,,Partner Referrals ,New
0,24.7.ai-New,,,0,5,,Referral Partner,,,,,,Sales Pipeline,18380619941,Not forecasted,Offline Sources,Associated_50250c68,Deal_3d3dc242,,0,0,,,0.05,Associated_50250c68,FALSE,,,4/18/2024 11:03,,,FALSE,0,FALSE,,Deal_a0110860,0,,0,,1,,4/2/2024 11:28,,,2/13/2025 13:25,,Partner Referrals ,New
0,New York Life - New,,,0,6,,Referral Partner,,,,,,Sales Pipeline,18380307239,Not forecasted,Direct Traffic,Associated_911ca522,,,0,0,,,0.05,Associated_911ca522,FALSE,,,2/3/2025 9:31,,,FALSE,0,FALSE,,Deal_d5a4345f,0,,0,,1,,4/2/2024 11:12,,,2/18/2025 14:06,,Partner Referrals ,New
20000,Field Agent Use Case,891:55:00,,363,3,3/31/2025 15:11,Customer Referral CSM,,,,,,Sales Pipeline,18378867117,Best case,Offline Sources,Associated_9421a44b,Deal_90c2529c,,0,100000,,,0.2,Associated_448d538a,FALSE,,,2/18/2025 15:30,,,FALSE,20000,FALSE,,Deal_9ebd0d73,100000,,100000,,1,,4/2/2024 10:12,,,2/19/2025 10:32,,Deep Dive. PSP Drafted,Growth
0,"Partnership deal , 100 to 300 agents , they do com...",3309:28:42,,137,,8/13/2024 10:24,Event,,,,,,Sales Pipeline,18291571379,Not forecasted,Offline Sources,Associated_fd71b936,Deal_17defa5f,,1,0,,,0,Associated_fd71b936,FALSE,,,8/5/2024 17:14,,,TRUE,0,TRUE,,Deal_3764f959,0,,0,,0,,3/28/2024 12:55,,,8/13/2024 10:24,,Closed Lost,New
0,"staffing company, in-house staff, assessing 70 can...",1653:47:07,,120,,7/25/2024 9:29,PLG,,,1245:39:15,,,Sales Pipeline,18246568357,Not forecasted,Organic Search,Associated_ae442107,Deal_dfbebf66,,1,12600,,,0,Associated_ae442107,FALSE,,,5/23/2024 15:24,,,TRUE,0,TRUE,,Deal_34dfdaeb,12600,,12600,,0,,3/26/2024 14:02,,,9/11/2024 16:36,,Closed Lost,New
0,"50 agents, Onboarding Ongoing coaching, system nav...",2758:24:23,,114,,7/19/2024 9:39,Other,,,,,,Sales Pipeline,18244772871,Not forecasted,Offline Sources,Associated_f598d976,Deal_3d3dc242,,1,9000,,,0,Associated_f598d976,FALSE,,,4/2/2024 16:30,,,TRUE,0,TRUE,,Deal_54c7d0c4,9000,,9000,,0,,3/26/2024 11:14,,,7/19/2024 9:39,,Closed Lost,New
0,Verizon-Referral Partner Deal,,,0,5,,Referral Partner,,,,,,Sales Pipeline,18156129080,Not forecasted,Offline Sources,Associated_9ef23a44,Deal_3d3dc242,,0,0,,,0.05,Associated_9ef23a44,FALSE,,,12/17/2024 13:00,,,FALSE,0,FALSE,,Deal_d070ee9e,0,,0,,1,,3/21/2024 18:10,,,1/22/2025 19:14,,Partner Referrals ,New
0,,,,0,8,,Referral Partner,,,,,,Sales Pipeline,18150751609,Not forecasted,,Associated_3e7baa07,Deal_3d3dc242,,0,0,,,0.05,Associated_3e7baa07,FALSE,,,5/20/2024 12:47,,,FALSE,0,FALSE,,Deal_9340f7be,0,,0,,1,,3/21/2024 13:28,,,12/25/2024 1:31,,Partner Referrals ,New
0,,,,0,26,,Referral Partner,,,,,,Sales Pipeline,18151205655,Not forecasted,Offline Sources,Associated_8493a0e2,Deal_3d3dc242,,0,0,,,0.05,Associated_8493a0e2,FALSE,,,2/14/2025 9:47,,,FALSE,0,FALSE,,Deal_38f3a8ca,0,,0,,1,,3/21/2024 13:24,,,2/14/2025 10:48,,Partner Referrals ,New
60000,,,1480:44:56,315,9,1/31/2025 12:12,Referral Partner,,,3152:28:45,,236:20:30,Sales Pipeline,18151205192,Commit,Offline Sources,Associated_39c2e312,Deal_dfbebf66,,0,100000,,,0.6,Associated_39c2e312,FALSE,,,2/18/2025 14:16,,,FALSE,60000,FALSE,,Deal_5a923163,100000,,100000,,1,,3/21/2024 13:21,,,2/18/2025 17:02,,Negotiation,New
0,,,,0,10,,Referral Partner,,,,,,Sales Pipeline,18151204729,Not forecasted,Offline Sources,Associated_7d6ee60e,Deal_3d3dc242,,0,0,,,0.05,Associated_7d6ee60e,FALSE,,,10/30/2024 11:22,,,FALSE,0,FALSE,,Deal_d9cda111,0,,0,,1,,3/21/2024 13:19,,,2/5/2025 7:51,,Partner Referrals ,New
0,,,,0,8,,Referral Partner,,,,,,Sales Pipeline,18151204418,Not forecasted,Offline Sources,Associated_f14fd4e7,Deal_3d3dc242,,0,0,,,0.05,Associated_f14fd4e7,FALSE,,,5/20/2024 12:47,,,FALSE,0,FALSE,,Deal_697b3f90,0,,0,,1,,3/21/2024 13:17,,,2/11/2025 13:53,,Partner Referrals ,New
0,,,,0,8,,Referral Partner,,,,,,Sales Pipeline,18151282954,Not forecasted,Offline Sources,Associated_66646422,Deal_3d3dc242,,0,0,,,0.05,Associated_66646422,FALSE,,,5/20/2024 12:47,,,FALSE,0,FALSE,,Deal_1a72997f,0,,0,,1,,3/21/2024 13:15,,,12/25/2024 22:21,,Partner Referrals ,New
0,,,,0,7,,Referral Partner,,,,,,Sales Pipeline,18151282572,Not forecasted,Offline Sources,Associated_fd4acbcd,Deal_3d3dc242,,0,0,,,0.05,Associated_fd4acbcd,FALSE,,,10/1/2024 23:25,,,FALSE,0,FALSE,,Deal_888e3b12,0,,0,,1,,3/21/2024 13:13,,,2/11/2025 6:26,,Partner Referrals ,New
0,,,,0,5,,Referral Partner,,,,,,Sales Pipeline,18151281758,Not forecasted,Offline Sources,Associated_c8b921ba,Deal_3d3dc242,,0,0,,,0.05,Associated_c8b921ba,FALSE,,,10/1/2024 23:26,,,FALSE,0,FALSE,,Deal_797ddf19,0,,0,,1,,3/21/2024 13:08,,,1/2/2025 14:41,,Partner Referrals ,New
0,,,,0,10,,Referral Partner,,,,,,Sales Pipeline,18151281470,Not forecasted,Offline Sources,Associated_fab5ca2f,Deal_3d3dc242,,0,0,,,0.05,Associated_fab5ca2f,FALSE,,,10/1/2024 23:27,,,FALSE,0,FALSE,,Deal_dfe8fc65,0,,0,,1,,3/21/2024 13:06,,,1/2/2025 5:20,,Partner Referrals ,New
0,,,,0,11,,Referral Partner,,,,,,Sales Pipeline,18151202212,Not forecasted,Offline Sources,Associated_5bb0a12e,Deal_3d3dc242,,0,0,,,0.05,Associated_5bb0a12e,FALSE,,,,,,FALSE,0,FALSE,,Deal_d57ebf32,0,,0,,1,,3/21/2024 13:05,,,12/9/2024 11:54,,Partner Referrals ,New
